Year,Income,Age,Sample Size,Calories (kcal),Protein (g),Carbohydrate (g),Sugar (g),Fiber (g),Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg),Caffeine (mg),Alcohol (g)
2009,All,6-11,1154,1869,65.8,256,123,14,67.2,23.4,23.7,14.1,196,5.9,592,73.8,1048,231,13.7,2971,2172,522,17.2,--
2009,All,12-19,1265,2167,79.1,287,138,14.4,79.4,27,28,17.3,247,7.1,579,82.6,1099,260,15.1,3562,2366,568,57,--
2009,All,20 and over,5762,2132,82.9,259,117,17.1,79.2,25.9,28.5,17.6,276,8,643,88.9,1016,307,15.3,3589,2776,548,179.4,11.3
2009,All,2 and over,9042,2081,79.5,259,119,16.2,76.8,25.5,27.5,16.8,261,7.5,628,86.6,1029,290,14.9,3463,2640,541,142.4,--
2011,"$0 - $24,999",2-5,314,1605,57.4,218,109,12,57.8,20.3,19.8,12.9,197,5.5,581,81.4,983,207,12.5,2399,2040,449,9.4,--
2011,"$0 - $24,999",6-11,395,2020,69.9,274,130,15,74.1,26,25.7,16.4,217,7,636,83,1107,237,15.2,3169,2275,552,16.9,--
2011,"$0 - $24,999",12-19,373,2367,84.9,303,140,15.8,92.2,30.1,32,22.5,314,8.4,588,67.1,1142,273,16.2,3925,2459,594,55.5,--
2011,"$0 - $24,999",20 and over,1680,2186,80.8,272,124,17,80.2,26.5,28.3,18.8,281,8.1,575,85.9,990,291,15.2,3556,2634,550,144.9,11.1
2011,"$0 - $24,999",2 and over,2762,2160,79,273,125,16.4,79.8,26.5,28,18.7,275,7.9,582,83.2,1017,280,15.2,3500,2550,549,116.2,--
2011,"$25,000 - $74,999",2-5,307,1603,55.3,221,117,11.6,57.7,21.4,19.6,11.8,171,5.5,564,94.7,1023,204,11.2,2282,2038,413,6,--
2011,"$25,000 - $74,999",6-11,436,1907,66,259,128,14,69.9,24.5,24,15.6,195,6.6,582,79.9,1029,231,14.5,3027,2217,534,23.6,--
2011,"$25,000 - $74,999",12-19,419,2040,72.4,278,133,14.8,72,24.5,24.5,17.1,225,7.1,529,84.9,999,248,14.3,3325,2259,530,52,--
